,time,amplitude
count,1000.0,1000.0
mean,0.08990002629724644,6.50520133972168
std,0.05776390997363703,0.0
min,-0.010000013055597966,6.505199909210205
25%,0.03995000662082424,6.505199909210205
50%,0.08990002629724646,6.505199909210205
75%,0.13985004597366865,6.505199909210205
max,0.18980006565009086,6.505199909210205
