,time,amplitude
count,1000.0,1000.0
mean,0.089899993605801,6.50520133972168
std,0.05776390997363703,0.0
min,-0.0100000457470434,6.505199909210205
25%,0.03994997392937881,6.505199909210205
50%,0.08989999360580102,6.505199909210205
75%,0.1398500132822232,6.505199909210205
max,0.18980003295864542,6.505199909210205
