,time,amplitude
count,1000.0,1000.0
mean,0.08989997716273318,6.50520133972168
std,0.057763909973637034,0.0
min,-0.01000006219011124,6.505199909210205
25%,0.03994995748631097,6.505199909210205
50%,0.08989997716273318,6.505199909210205
75%,0.1398499968391554,6.505199909210205
max,0.1898000165155776,6.505199909210205
