,dim_1,dim_2,dim_3
count,98.0,98.0,98.0
mean,6.505200386047363,6.505200386047363,6.505200386047363
std,0.0,0.0,0.0
min,6.505199909210205,6.505199909210205,6.505199909210205
25%,6.505199909210205,6.505199909210205,6.505199909210205
50%,6.505199909210205,6.505199909210205,6.505199909210205
75%,6.505199909210205,6.505199909210205,6.505199909210205
max,6.505199909210205,6.505199909210205,6.505199909210205
