,time,amplitude
count,1000.0,1000.0
mean,0.08990000268072727,6.50520133972168
std,0.05776390997363703,0.0
min,-0.010000036672117149,6.505199909210205
25%,0.03994998300430506,6.505199909210205
50%,0.08990000268072727,6.505199909210205
75%,0.13985002235714947,6.505199909210205
max,0.18980004203357168,6.505199909210205
