,time,amplitude
count,1000.0,1000.0
mean,0.08989996916922285,6.50520133972168
std,0.057763909973637034,0.0
min,-0.010000070183621564,6.505199909210205
25%,0.039949949492800646,6.505199909210205
50%,0.08989996916922285,6.505199909210205
75%,0.13984998884564506,6.505199909210205
max,0.18980000852206727,6.505199909210205
